2026-03-21 22:21:46,697 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:22:51,190 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305621899546846 responded with 429. Retrying in 0.78 seconds.
2026-03-21 22:22:52,310 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305616849600614 responded with 429. Retrying in 0.67 seconds.
2026-03-21 22:22:53,237 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305615742304286 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:22:54,258 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305613922238596 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:22:55,208 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305612986781766 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:22:56,242 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305611439083580 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:22:57,217 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305606049398874 responded with 429. Retrying in 0.76 seconds.
2026-03-21 22:22:58,242 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305603188752494 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:22:59,199 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305499551830078 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:23:00,187 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388303231393992784 responded with 429. Retrying in 0.78 seconds.
2026-03-21 22:23:01,222 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388211118824226956 responded with 429. Retrying in 0.76 seconds.
2026-03-21 22:23:02,295 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206775622303787 responded with 429. Retrying in 0.68 seconds.
2026-03-21 22:23:03,288 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206740025245846 responded with 429. Retrying in 0.69 seconds.
2026-03-21 22:23:04,230 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206535624102041 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:23:05,205 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206473800323124 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:23:06,188 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206405227384883 responded with 429. Retrying in 0.78 seconds.
2026-03-21 22:23:07,206 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206327846797423 responded with 429. Retrying in 0.78 seconds.
2026-03-21 22:23:08,291 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388206139350712511 responded with 429. Retrying in 0.69 seconds.
2026-03-21 22:23:09,328 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388165635879469068 responded with 429. Retrying in 0.65 seconds.
2026-03-21 22:23:10,264 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388165634474643479 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:23:11,379 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388163635188072600 responded with 429. Retrying in 0.59 seconds.
2026-03-21 22:23:12,198 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388163610668306463 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:23:13,247 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388163285068808393 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:23:14,206 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388163283537756250 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:23:15,234 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388162197297037354 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:23:16,250 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388162183438930013 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:25:16,382 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161947215597759 responded with 429. Retrying in 0.30 seconds.
2026-03-21 22:25:16,913 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161942631223357 responded with 429. Retrying in 0.49 seconds.
2026-03-21 22:25:17,691 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161931449204877 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:18,689 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161897395785778 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:19,655 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161863811989504 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:25:20,634 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161782962458624 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:25:21,671 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161738230202439 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:25:22,651 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161736754073631 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:25:23,646 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388161701412733012 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:25:24,711 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387936739040952330 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:25:25,679 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387935735021178946 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:25:26,691 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387935651948793907 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:27,723 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387935571833258067 responded with 429. Retrying in 0.68 seconds.
2026-03-21 22:25:28,768 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387935511422701669 responded with 429. Retrying in 0.64 seconds.
2026-03-21 22:25:29,672 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387934561589002240 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:25:30,738 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387934559974199298 responded with 429. Retrying in 0.66 seconds.
2026-03-21 22:25:31,641 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387933020954296360 responded with 429. Retrying in 0.76 seconds.
2026-03-21 22:25:32,695 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387932153110593637 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:33,685 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387931169320079440 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:25:34,708 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387931110822121623 responded with 429. Retrying in 0.70 seconds.
2026-03-21 22:25:35,703 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387930885587865640 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:36,703 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387077196438438010 responded with 429. Retrying in 0.70 seconds.
2026-03-21 22:25:37,647 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387076866694844446 responded with 429. Retrying in 0.76 seconds.
2026-03-21 22:25:38,804 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387071900483588186 responded with 429. Retrying in 0.61 seconds.
2026-03-21 22:25:39,694 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387063906845065406 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:25:40,847 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387063868160872579 responded with 429. Retrying in 0.56 seconds.
2026-03-21 22:25:41,922 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387062535894732860 responded with 429. Retrying in 0.48 seconds.
2026-03-21 22:25:42,681 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387062107505168504 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:25:43,657 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387061157050847392 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:25:44,676 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387061136108683366 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:25:45,650 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387059869403840644 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:25:46,728 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387059863884136511 responded with 429. Retrying in 0.68 seconds.
2026-03-21 22:25:47,674 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387059858221830245 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:27:36,607 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216485985489056 responded with 429. Retrying in 0.30 seconds.
2026-03-21 22:27:37,181 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216458433368256 responded with 429. Retrying in 0.55 seconds.
2026-03-21 22:27:38,055 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216409963729070 responded with 429. Retrying in 0.67 seconds.
2026-03-21 22:27:38,978 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216370004721705 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:27:39,949 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216327977799771 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:40,979 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216314828652595 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:27:41,999 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216276509491223 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:27:43,021 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216264639479949 responded with 429. Retrying in 0.70 seconds.
2026-03-21 22:27:44,064 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216174956871731 responded with 429. Retrying in 0.65 seconds.
2026-03-21 22:27:45,002 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437216142920777789 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:46,002 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215807649091775 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:47,204 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215762044555367 responded with 429. Retrying in 0.51 seconds.
2026-03-21 22:27:48,074 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215752276152330 responded with 429. Retrying in 0.64 seconds.
2026-03-21 22:27:48,458 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057213620748399 responded with 429. Retrying in 0.30 seconds.
2026-03-21 22:27:48,981 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215693102776451 responded with 429. Retrying in 0.74 seconds.
2026-03-21 22:27:49,022 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057175402123394 responded with 429. Retrying in 0.61 seconds.
2026-03-21 22:27:49,921 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057151176081408 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:49,970 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215677827252284 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:27:50,919 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057139108810835 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:27:50,960 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215605919846585 responded with 429. Retrying in 0.76 seconds.
2026-03-21 22:27:51,915 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057124068167835 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:51,949 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1437215590682071200 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:53,096 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427015222559903946 responded with 429. Retrying in 0.62 seconds.
2026-03-21 22:27:53,978 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427015031501095033 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:27:54,996 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427015015675990087 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:55,122 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057096515780789 responded with 429. Retrying in 0.52 seconds.
2026-03-21 22:27:55,863 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057091109458021 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:55,960 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014525185429535 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:56,857 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057059501183117 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:56,995 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014503031373884 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:27:57,928 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387057016949964870 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:27:57,994 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014459456622724 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:27:58,862 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387056995667804171 responded with 429. Retrying in 0.77 seconds.
2026-03-21 22:27:58,969 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014455169908918 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:27:59,882 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387056933122474076 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:27:59,997 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014438078382151 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:28:00,884 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387056871323734026 responded with 429. Retrying in 0.75 seconds.
2026-03-21 22:28:01,076 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014423645651165 responded with 429. Retrying in 0.64 seconds.
2026-03-21 22:28:01,997 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1387056840373965001 responded with 429. Retrying in 0.63 seconds.
2026-03-21 22:28:02,005 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1387113647687335946/messages/1427014411889152190 responded with 429. Retrying in 0.71 seconds.
2026-03-21 22:28:02,895 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1386909316853796914 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:28:03,910 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1386909307760807946 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:28:05,862 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:28:05,862 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-21 22:28:06,009 | INFO     | discord.client | logging in using static token
2026-03-21 22:28:06,881 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: b4fb17d04925d2bb1236cfe4c0fd2c7a).
2026-03-21 22:28:42,392 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:28:42,392 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-21 22:28:42,539 | INFO     | discord.client | logging in using static token
2026-03-21 22:28:43,459 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 0fd78669379f29ff481bb66a775fbcfc).
2026-03-21 22:30:44,255 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:30:44,256 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-21 22:30:44,414 | INFO     | discord.client | logging in using static token
2026-03-21 22:30:45,163 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: b578ef52d290d105a7f8c99ed1a1426d).
2026-03-21 22:38:30,572 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:38:30,572 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-21 22:38:30,832 | INFO     | discord.client | logging in using static token
2026-03-21 22:38:31,655 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: a4f9ad1228de13d524d55cbb121b20ea).
2026-03-22 00:49:19,641 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 00:49:25,093 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: bce934bc8c8243618934d273b48159f0).
2026-03-22 02:09:53,958 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session bce934bc8c8243618934d273b48159f0.
2026-03-22 02:46:43,950 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session bce934bc8c8243618934d273b48159f0.
2026-03-22 05:01:52,826 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session bce934bc8c8243618934d273b48159f0.
2026-03-22 06:08:00,724 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session bce934bc8c8243618934d273b48159f0.
2026-03-22 06:49:58,658 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session bce934bc8c8243618934d273b48159f0.
2026-03-22 08:36:42,194 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 08:36:47,868 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 43dfda7997663bdabd6580f7ee2c364e).
2026-03-22 08:42:00,280 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 08:42:05,829 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 646cfba59dac2a09fd1e206a519df100).
2026-03-22 09:47:07,721 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 09:47:13,342 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: d59c95a12df97b32a832a01ba4fd373a).
2026-03-22 09:48:12,468 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session d59c95a12df97b32a832a01ba4fd373a.
2026-03-22 11:21:31,806 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-22 11:21:31,806 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-22 11:21:32,040 | INFO     | discord.client | logging in using static token
2026-03-22 11:21:33,285 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 7b1e5a6eb4311c2d7902894f384c93e2).
2026-03-22 11:34:21,756 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 11:34:27,183 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 59ca0bdeb3d23b14a5f7a16f1bf4c802).
2026-03-22 11:36:47,789 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-22 11:36:47,789 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-22 11:36:47,969 | INFO     | discord.client | logging in using static token
2026-03-22 11:36:49,164 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: c5b15a68cff1993be3139faaf91309b1).
2026-03-22 12:07:32,164 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 12:07:37,620 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: ff2e10b95b7f9ff891ede06a1be4c61d).
2026-03-22 12:07:44,773 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-22 12:07:44,773 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-22 12:07:44,925 | INFO     | discord.client | logging in using static token
2026-03-22 12:07:46,075 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 71ae0d1c5fc8007a050000a33ba912ca).
2026-03-22 12:24:04,714 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 12:24:10,222 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 4bf5915267d85a5b08a1d1b986d1560b).
2026-03-22 13:02:41,502 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 13:02:47,279 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 4d02937817748ed91c151b6a985d0475).
2026-03-22 13:37:51,092 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 13:37:56,683 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 97b87456273fb8ea92dea734ee6875f4).
2026-03-22 14:12:42,727 | INFO     | discord.gateway | Shard ID None session has been invalidated.
2026-03-22 14:12:48,426 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 36b932f95e243270f7929de34fc041b1).
2026-03-22 16:56:59,283 | INFO     | discord.gateway | Shard ID None has successfully RESUMED session 36b932f95e243270f7929de34fc041b1.
2026-03-22 17:45:11,451 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-22 17:45:11,451 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-22 17:45:11,703 | INFO     | discord.client | logging in using static token
2026-03-22 17:45:12,435 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 42440e5e139340c6dc9ea892112ab5a6).
2026-03-22 17:51:47,660 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1386907764076580915 responded with 429. Retrying in 0.30 seconds.
2026-03-22 17:51:48,279 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1386907244037148712 responded with 429. Retrying in 0.50 seconds.
2026-03-22 17:51:49,170 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1386907088017555637 responded with 429. Retrying in 0.61 seconds.
